ds,y
2024-10-28,105.86039733886719
2024-10-29,107.64148712158203
2024-10-30,103.5619125366211
2024-10-31,99.1539535522461
2024-11-01,99.23355102539062
2024-11-04,101.22359466552734
2024-11-05,104.96487426757812
2024-11-06,111.2733154296875
2024-11-07,112.845458984375
2024-11-08,111.34297180175781
2024-11-11,108.10914611816406
2024-11-12,103.58180236816406
2024-11-13,99.422607421875
2024-11-14,98.68628692626953
2024-11-15,95.86043548583984
2024-11-18,97.02461242675781
2024-11-19,97.24351501464844
2024-11-20,97.88032531738281
2024-11-21,102.24847412109375
2024-11-22,102.12906646728516
2024-11-25,103.95991516113281
2024-11-26,101.29325866699219
2024-11-27,97.71117401123047
2024-11-29,97.46240997314453
2024-12-02,98.05943298339844
2024-12-03,99.34300994873047
2024-12-04,102.686279296875
2024-12-05,100.36788940429688
2024-12-06,100.6663818359375
2024-12-09,102.30818176269531
2024-12-10,97.6116714477539
2024-12-11,101.55194854736328
2024-12-12,97.7509765625
2024-12-13,101.98976135253906
2024-12-16,107.72109985351562
2024-12-17,108.05940246582031
2024-12-18,103.38279724121094
2024-12-19,86.65647888183594
2024-12-20,89.67137908935547
2024-12-23,89.27337646484375
2024-12-24,88.8355712890625
2024-12-26,89.37287902832031
2024-12-27,88.18880462646484
2024-12-30,84.9956283569336
2024-12-31,83.849853515625
2025-01-02,87.0081787109375
2025-01-03,89.538818359375
2025-01-06,98.89421844482422
2025-01-07,101.53445434570312
2025-01-08,99.04366302490234
2025-01-10,98.97390747070312
2025-01-13,94.70968627929688
2025-01-14,97.001220703125
2025-01-15,102.80973052978516
2025-01-16,102.2219009399414
2025-01-17,105.36030578613281
2025-01-21,108.97691345214844
2025-01-22,108.82746887207031
2025-01-23,104.45365142822266
2025-01-24,102.80973052978516
2025-01-27,90.77425384521484
2025-01-28,87.92479705810547
2025-01-29,88.6819839477539
2025-01-30,92.15912628173828
2025-01-31,90.90377044677734
2025-02-03,89.58863067626953
2025-02-04,90.3259048461914
2025-02-05,93.25506591796875
2025-02-06,94.19161224365234
2025-02-07,91.95986938476562
2025-02-10,95.57647705078125
2025-02-11,93.73330688476562
2025-02-12,91.3421401977539
2025-02-13,95.30747985839844
2025-02-14,99.15324401855469
2025-02-18,106.39646911621094
2025-02-19,103.97541809082031
2025-02-20,102.79976654052734
2025-02-21,98.47575378417969
2025-02-24,95.05841064453125
2025-02-25,92.87647247314453
2025-02-26,97.34992218017578
2025-02-27,91.48162841796875
2025-02-28,93.28495788574219
2025-03-03,90.20635223388672
2025-03-04,90.8639144897461
2025-03-05,93.99234771728516
2025-03-06,88.94102478027344
2025-03-07,92.61742401123047
2025-03-10,86.75910949707031
2025-03-11,88.72183990478516
2025-03-12,95.28755187988281
2025-03-13,94.53034973144531
2025-03-14,100.41857147216797
2025-03-17,102.73001861572266
2025-03-18,101.34514617919922
2025-03-19,101.68388366699219
2025-03-20,102.62042999267578
2025-03-21,94.37094116210938
2025-03-24,96.582763671875
2025-03-25,93.83293151855469
2025-03-26,91.79049682617188
2025-03-27,90.82406616210938
2025-03-28,88.11408233642578
2025-03-31,86.68251037597656
2025-04-01,88.4981689453125
2025-04-02,88.388427734375
2025-04-03,74.16246795654297
2025-04-04,64.5654525756836
2025-04-07,68.20674133300781
2025-04-08,65.38349914550781
2025-04-09,77.6840591430664
2025-04-10,69.88272857666016
2025-04-11,69.38392639160156
2025-04-14,70.85040283203125
2025-04-15,70.87036895751953
2025-04-16,69.16444396972656
2025-04-17,68.6357192993164
2025-04-21,66.58061981201172
2025-04-22,70.04234313964844
2025-04-23,72.75585174560547
2025-04-24,77.23512268066406
2025-04-25,79.58949279785156
2025-04-28,78.37240600585938
2025-04-29,76.69641876220703
2025-04-30,76.76624298095703
2025-05-01,77.58428955078125
2025-05-02,80.52725219726562
2025-05-05,80.22795867919922
2025-05-06,80.31775665283203
2025-05-07,82.42271423339844
2025-05-08,84.94667053222656
2025-05-09,85.65497589111328
2025-05-12,92.06961059570312
2025-05-13,96.69854736328125
2025-05-14,95.0923843383789
2025-05-15,95.2220687866211
2025-05-16,97.76598358154297
2025-05-19,98.4144287109375
2025-05-20,97.8657455444336
2025-05-21,95.61112976074219
2025-05-22,94.60355377197266
2025-05-23,93.14704132080078
2025-05-27,96.14985656738281
2025-05-28,95.95032501220703
2025-05-29,96.56885528564453
2025-05-30,94.23442840576172
2025-06-02,97.94554901123047
2025-06-03,102.0058364868164
2025-06-04,103.00344848632812
2025-06-05,106.03617858886719
2025-06-06,108.30076599121094
2025-06-09,110.68505096435547
2025-06-10,113.86744689941406
2025-06-11,115.7529296875
2025-06-12,115.90257263183594
2025-06-13,115.3239517211914
2025-06-16,119.55382537841797
2025-06-17,120.05262756347656
2025-06-18,121.52909851074219
2025-06-20,123.30485534667969
2025-06-23,121.78848266601562
2025-06-24,127.60456848144531
2025-06-25,126.9461441040039
2025-06-26,125.69912719726562
2025-06-27,124.46208190917969
2025-06-30,122.9556884765625
2025-07-01,120.601318359375
2025-07-02,121.44929504394531
2025-07-03,121.99797821044922
2025-07-07,119.74625396728516
2025-07-08,124.2397232055664
2025-07-09,122.0628890991211
2025-07-10,122.93162536621094
2025-07-11,124.34957122802734
2025-07-14,118.43814849853516
2025-07-15,119.93597412109375
2025-07-16,116.26129913330078
2025-07-17,113.09590148925781
2025-07-18,114.22425842285156
2025-07-21,113.0659408569336
2025-07-22,109.06175231933594
2025-07-23,109.67086791992188
2025-07-24,111.568115234375
2025-07-25,111.09880065917969
2025-07-28,111.08881378173828
2025-07-29,111.79777526855469
2025-07-30,114.5737533569336
2025-07-31,108.98186492919922
2025-08-01,104.72803497314453
2025-08-04,107.61385345458984
2025-08-05,108.9019775390625
2025-08-06,108.62238311767578
2025-08-07,111.70791625976562
2025-08-08,118.71773529052734
2025-08-11,123.5407485961914
2025-08-12,127.56490325927734
2025-08-13,124.08993530273438
2025-08-14,125.10845947265625
2025-08-15,120.69486999511719
2025-08-18,123.3709945678711
2025-08-19,121.87316131591797
2025-08-20,117.04017639160156
2025-08-21,115.62223052978516
2025-08-22,117.50949096679688
2025-08-25,116.2513198852539
2025-08-26,116.33120727539062
2025-08-27,117.57939910888672
2025-08-28,121.82323455810547
2025-08-29,118.83757019042969
2025-09-02,118.30834197998047
2025-09-03,118.54798126220703
2025-09-04,124.03003692626953
2025-09-05,131.1796417236328
2025-09-08,131.26953125
2025-09-09,135.04405212402344
2025-09-10,139.79714965820312
2025-09-11,150.3518524169922
2025-09-12,157.002197265625
2025-09-15,157.5414276123047
2025-09-16,158.58990478515625
2025-09-17,159.75820922851562
2025-09-18,168.64529418945312
2025-09-19,162.49420166015625
2025-09-22,164.3814697265625
2025-09-23,166.16888427734375
2025-09-24,161.47569274902344
2025-09-25,156.602783203125
2025-09-26,157.04212951660156
2025-09-29,163.66250610351562
2025-09-30,167.07757568359375
2025-10-01,181.8860626220703
2025-10-02,183.48374938964844
2025-10-03,187.67530822753906
2025-10-06,190.802734375
2025-10-07,185.53707885742188
2025-10-08,196.3781280517578
